2026/04/27 00:42:57.145, 41, [N/A], 26 %, 20 %, 1246 MiB
2026/04/27 00:43:07.076, 42, [N/A], 20 %, 17 %, 1242 MiB
2026/04/27 00:43:17.217, 42, [N/A], 28 %, 22 %, 1252 MiB
2026/04/27 00:43:27.205, 42, [N/A], 21 %, 17 %, 1243 MiB
2026/04/27 00:43:37.138, 43, [N/A], 17 %, 19 %, 7477 MiB
2026/04/27 00:43:47.248, 43, [N/A], 26 %, 20 %, 7488 MiB
2026/04/27 00:43:57.251, 43, [N/A], 27 %, 21 %, 7492 MiB
2026/04/27 00:44:07.187, 45, [N/A], 3 %, 1 %, 7505 MiB
2026/04/27 00:44:17.239, 44, [N/A], 23 %, 18 %, 7498 MiB
2026/04/27 00:44:27.286, 44, [N/A], 20 %, 16 %, 7509 MiB
2026/04/27 00:44:37.238, 51, [N/A], 98 %, 100 %, 7488 MiB
2026/04/27 00:44:47.234, 54, [N/A], 92 %, 99 %, 7498 MiB
2026/04/27 00:44:57.322, 56, [N/A], 92 %, 99 %, 7489 MiB
2026/04/27 00:45:07.283, 58, [N/A], 92 %, 99 %, 7495 MiB
2026/04/27 00:45:17.205, 57, [N/A], 91 %, 98 %, 7490 MiB
2026/04/27 00:45:27.346, 56, [N/A], 91 %, 98 %, 7486 MiB
2026/04/27 00:45:37.318, 56, [N/A], 97 %, 100 %, 7482 MiB
2026/04/27 00:45:47.245, 55, [N/A], 100 %, 100 %, 7484 MiB
2026/04/27 00:45:57.363, 55, [N/A], 92 %, 100 %, 7482 MiB
2026/04/27 00:46:07.368, 54, [N/A], 100 %, 100 %, 7475 MiB
2026/04/27 00:46:17.307, 54, [N/A], 100 %, 100 %, 7475 MiB
2026/04/27 00:46:27.378, 54, [N/A], 100 %, 100 %, 7475 MiB
2026/04/27 00:46:37.401, 54, [N/A], 100 %, 100 %, 7477 MiB
2026/04/27 00:46:47.342, 55, [N/A], 90 %, 98 %, 7481 MiB
2026/04/27 00:46:57.369, 54, [N/A], 94 %, 100 %, 7505 MiB
2026/04/27 00:47:07.428, 54, [N/A], 94 %, 100 %, 7497 MiB
2026/04/27 00:47:17.379, 54, [N/A], 92 %, 99 %, 7479 MiB
2026/04/27 00:47:27.306, 55, [N/A], 92 %, 99 %, 7487 MiB
2026/04/27 00:47:37.455, 54, [N/A], 93 %, 100 %, 7478 MiB
2026/04/27 00:47:47.429, 55, [N/A], 94 %, 100 %, 7476 MiB
2026/04/27 00:47:57.357, 55, [N/A], 98 %, 100 %, 7476 MiB
2026/04/27 00:48:07.485, 55, [N/A], 100 %, 100 %, 7478 MiB
2026/04/27 00:48:17.475, 55, [N/A], 100 %, 100 %, 7483 MiB
2026/04/27 00:48:27.409, 55, [N/A], 97 %, 100 %, 7475 MiB
2026/04/27 00:48:37.505, 55, [N/A], 92 %, 100 %, 7475 MiB
2026/04/27 00:48:47.511, 55, [N/A], 94 %, 100 %, 7486 MiB
2026/04/27 00:48:57.450, 55, [N/A], 100 %, 100 %, 7481 MiB
2026/04/27 00:49:07.482, 55, [N/A], 94 %, 100 %, 7482 MiB
2026/04/27 00:49:17.544, 55, [N/A], 94 %, 100 %, 7472 MiB
2026/04/27 00:49:27.495, 56, [N/A], 91 %, 100 %, 7507 MiB
2026/04/27 00:49:37.467, 56, [N/A], 100 %, 100 %, 7490 MiB
2026/04/27 00:49:47.580, 56, [N/A], 93 %, 100 %, 7492 MiB
2026/04/27 00:49:57.544, 55, [N/A], 91 %, 100 %, 7488 MiB
2026/04/27 00:50:07.472, 56, [N/A], 100 %, 100 %, 7504 MiB
2026/04/27 00:50:17.613, 56, [N/A], 92 %, 100 %, 7466 MiB
2026/04/27 00:50:27.587, 56, [N/A], 100 %, 100 %, 7492 MiB
2026/04/27 00:50:37.514, 56, [N/A], 100 %, 100 %, 7487 MiB
2026/04/27 00:50:47.616, 56, [N/A], 91 %, 100 %, 7505 MiB
2026/04/27 00:50:57.622, 56, [N/A], 99 %, 100 %, 7490 MiB
2026/04/27 00:51:07.557, 56, [N/A], 100 %, 100 %, 7492 MiB
2026/04/27 00:51:17.614, 56, [N/A], 89 %, 97 %, 7486 MiB
2026/04/27 00:51:27.650, 55, [N/A], 100 %, 100 %, 7488 MiB
2026/04/27 00:51:37.595, 56, [N/A], 92 %, 99 %, 7487 MiB
2026/04/27 00:51:47.601, 56, [N/A], 93 %, 100 %, 7491 MiB
2026/04/27 00:51:57.683, 55, [N/A], 100 %, 100 %, 7489 MiB
2026/04/27 00:52:07.636, 56, [N/A], 98 %, 100 %, 7489 MiB
2026/04/27 00:52:17.573, 56, [N/A], 91 %, 98 %, 7490 MiB
